 ,DCD,TRR,XTC,H5MD w/ MDA,H5MD w/ pyh5md
Total loop means,1.1881927490234374,14.371970462799073,5.01926555633545,38.81769151687622,8.815917921066283
Total loop stds,0.06580097247472952,0.21983728629420585,0.08772137085087954,0.07371786032577027,0.09111220458530643
Loop/frame means,0.00039606424967447923,0.004790656820933024,0.001673088518778483,0.012939230505625407,0.0029386393070220946
Loop/frame stds,2.1933657491576498e-05,7.327909543140204e-05,2.9240456950293157e-05,2.45726201085901e-05,3.0370734861768742e-05
Total IO means,0.8622818946838379,14.018864917755128,4.675229406356811,38.31602435111999,8.443600082397461
Total IO stds,0.04735455980781003,0.21525089583758644,0.08121045325832658,0.07274473689681732,0.08799843070776722
IO/frame means,0.00028742729822794596,0.004672954972585042,0.001558409802118937,0.012772008117039999,0.0028145333607991533
IO/frame stds,1.578485326927002e-05,7.175029861252881e-05,2.7070151086108827e-05,2.42482456322725e-05,2.933281023592242e-05
Total RMSD means,0.3220220565795898,0.34868364334106444,0.339890193939209,0.49392924308776853,0.3671737194061279
Total RMSD stds,0.018235244684477358,0.004674410784437708,0.0064722283236097,0.001258253581147714,0.0044281848080195176
RMSD/frame means,0.00010734068552652994,0.00011622788111368815,0.00011329673131306967,0.00016464308102925618,0.00012239123980204263
RMSD/frame stds,6.078414894825786e-06,1.5581369281459002e-06,2.157409441203232e-06,4.194178603825677e-07,1.4760616026731762e-06
