 ,DCD,TRR,XTC,H5MD w/ MDA,H5MD w/ pyh5md
Total loop means,0.1301572799682617,1.4307731151580811,0.5012017726898194,3.5294711112976076,0.8736728668212891
Total loop stds,0.02232252282570873,0.019943740866142104,0.010069568426779472,0.09131079606257245,0.0013551372826510017
Loop/frame means,0.00043385759989420577,0.004769243717193603,0.0016706725756327312,0.011764903704325357,0.002912242889404297
Loop/frame stds,7.440840941902911e-05,6.647913622047344e-05,3.356522808926491e-05,0.00030436932020857507,4.517124275503295e-06
Total IO means,0.09456133842468262,1.3951591491699218,0.4664322376251221,3.4787973880767824,0.8362963199615479
Total IO stds,0.018747433844802153,0.019457967233903452,0.009355047328398165,0.0901476276110641,0.0013141567457757197
IO/frame means,0.0003152044614156087,0.004650530497233072,0.0015547741254170735,0.011595991293589274,0.0027876543998718263
IO/frame stds,6.24914461493405e-05,6.485989077967833e-05,3.11834910946605e-05,0.00030049209203688047,4.380522485919052e-06
Total RMSD means,0.03520488739013672,0.035207271575927734,0.034369373321533205,0.049732112884521486,0.036905860900878905
Total RMSD stds,0.0037762748914061672,0.0005040553330011881,0.0007227104895756454,0.001324389206796752,0.0001215676298909661
RMSD/frame means,0.00011734962463378906,0.0001173575719197591,0.00011456457773844401,0.00016577370961507162,0.00012301953633626304
RMSD/frame stds,1.2587582971353893e-05,1.6801844433372926e-06,2.4090349652521497e-06,4.414630689322503e-06,4.052254329698938e-07
