 ,DCD,TRR,XTC,H5MD w/ MDA,H5MD w/ pyh5md
Total loop means,0.12619280815124512,1.4205290794372558,0.4957584381103516,3.619902992248535,0.8672905445098877
Total loop stds,0.011751234963699739,0.001988857219207807,0.0002203255798074324,0.007914788899017691,0.0014177524463081272
Loop/frame means,0.0004206426938374837,0.00473509693145752,0.0016525281270345052,0.012066343307495116,0.0028909684816996258
Loop/frame stds,3.917078321233246e-05,6.629524064025983e-06,7.34418599358108e-07,2.6382629663392152e-05,4.725841487693805e-06
Total IO means,0.09058203697204589,1.3852842807769776,0.4616570949554443,3.568454551696777,0.8301173686981201
Total IO stds,0.008232172734575407,0.0016742678540342156,0.00017631542522735172,0.007808513832527433,0.0013524487320873157
IO/frame means,0.000301940123240153,0.004617614269256593,0.0015388569831848145,0.011894848505655925,0.0027670578956604007
IO/frame stds,2.7440575781918026e-05,5.580892846780732e-06,5.877180840911197e-07,2.602837944175808e-05,4.508162440291011e-06
Total RMSD means,0.0351923942565918,0.03482332229614258,0.03366661071777344,0.05060610771179199,0.03670434951782227
Total RMSD stds,0.003480807010840299,0.00031164384046557546,6.066954153591136e-05,0.00013374696640547985,0.0001294093704093136
RMSD/frame means,0.00011730798085530599,0.00011607774098714193,0.00011222203572591146,0.00016868702570597334,0.00012234783172607422
RMSD/frame stds,1.1602690036134328e-05,1.0388128015519198e-06,2.0223180511970668e-07,4.458232213515969e-07,4.3136456803104034e-07
